pt_mu1,pt_mu2,pt_fjt,M_fjt,S_T,MET,DR_fjt_mu1,DR_fjt_mu2,DR_mu1_mu2
142.158,123.131,85.9231,10.5812,408.315,9.71531,2.73356,1.21727,2.87933
88.8585,35.8508,111.502,18.2823,328.059,7.89233,3.73447,3.05637,0.919179
47.8859,30.5145,66.9824,20.6089,264.406,38.7003,2.15071,1.5467,1.13239
168.153,68.5559,78.4107,8.15526,390.382,38.7084,2.9183,0.640573,2.9473
187.784,140.925,210.002,19.8051,771.505,56.8777,3.02043,0.778432,2.53227
35.7091,21.9567,63.4317,7.47847,163.489,6.01848,2.95013,3.13445,1.04513
87.8971,29.3298,41.9195,17.191,147.532,77.8863,3.47885,3.9299,0.472459
47.3886,28.085,121.253,19.1625,315.609,55.2943,2.91723,2.10623,1.10816
61.2496,38.4871,111.635,11.5642,267.77,30.0401,2.58456,2.47703,1.80217
56.9852,46.8956,49.3463,5.41569,159.086,52.2586,2.78584,1.49951,3.04177
100.443,21.4057,121.085,17.7076,313.381,79.6388,3.07633,1.28786,2.35434
35.3778,28.1802,113.765,11.2028,351.569,51.5391,2.10721,1.06761,1.3395
82.0551,31.9822,54.2936,18.459,297.501,108.52,3.00681,2.51142,1.19825
60.4785,50.0802,74.4059,22.3921,208.735,82.1804,1.81376,2.90124,1.2981
117.84,28.3449,313.674,23.361,777.304,51.5943,2.40774,1.11167,3.45041
75.6865,21.4512,56.4147,23.0971,210.229,59.2695,1.62429,2.61201,1.3438
61.5557,21.1717,131.467,33.7845,339.105,68.6377,1.95837,2.42942,2.166
79.0012,41.6514,67.0881,24.3149,282.198,88.136,2.18754,2.87129,2.94214
51.5175,36.3293,49.27,6.26893,176.969,98.6142,1.16858,2.26893,3.0402
66.319,48.5736,94.5213,10.3499,462.853,52.4206,3.14811,2.08684,1.18815
120.543,65.2364,55.6897,15.6556,325.844,56.9082,1.89817,1.75939,2.81263
37.2136,31.1407,101.36,13.8554,283.114,23.8447,2.97113,2.03365,1.28746
49.0823,27.33,60.2802,9.12183,207.865,86.95,1.53517,1.40217,0.869051
50.3583,22.5182,73.829,24.2711,215.865,126.252,1.92036,0.894756,1.1251
48.776,42.4907,110.373,22.4371,478.823,29.2104,2.20133,1.11474,2.99718
58.9865,37.5712,89.7152,23.4811,309.023,26.1273,2.90807,3.86169,1.74273
