pt_mu1,pt_mu2,pt_fjt,M_fjt,S_T,MET,DR_fjt_mu1,DR_fjt_mu2,DR_mu1_mu2
54.1103,29.9138,44.5562,11.777,125.927,15.88,2.91012,0.838851,3.09438
62.5773,41.7384,101.222,7.90292,325.415,34.2346,1.55947,2.94213,2.47138
109.237,30.2919,86.7272,17.5055,256.265,4.84436,4.14317,3.05343,1.8497
59.4337,47.6121,45.7897,15.9313,208.588,2.76871,1.99023,1.22402,3.0695
62.1169,58.4137,114.842,16.1113,246.151,16.9215,2.69642,2.63199,1.47366
63.3107,33.2242,64.4366,7.74054,240.332,11.963,1.97251,1.42467,2.87811
63.8699,31.8676,94.6693,6.49384,348.44,13.415,1.15923,2.44555,2.82605
83.9317,25.5675,69.6472,16.4066,179.302,3.40498,2.84271,0.818481,2.66594
62.2449,43.8046,48.8868,5.87391,162.571,7.55633,2.03838,2.2832,2.05248
61.796,45.534,69.5488,12.6503,183.037,3.60912,2.43464,2.1923,1.85731
116.86,24.1794,112.909,37.1761,352.43,12.2893,2.3868,2.47761,1.61875
57.7617,42.3727,83.6362,19.0012,224.244,15.7638,1.51771,2.94274,2.10695
54.4214,49.0008,58.8471,22.7601,249.078,14.7525,1.80619,3.54163,1.86387
54.1158,39.9978,110.449,22.0127,299.446,12.9777,3.68548,1.51824,2.35045
43.2018,28.0128,50.5356,2.54637,127.347,7.44417,2.57632,3.11608,2.40887
90.033,25.3503,55.4921,8.74578,240.953,16.7497,4.1983,3.57331,2.40415
57.6431,40.2729,45.7373,8.02464,148.412,7.96524,2.81545,1.29936,2.36682
72.6645,38.3034,87.2019,9.82111,199.645,3.9028,2.71372,1.87257,1.93238
60.6199,26.4673,68.573,7.93297,189.065,17.769,3.60541,1.67101,2.38982
60.7446,45.9117,54.2981,11.6435,162.692,8.01228,2.87035,1.45463,1.96225
96.3506,28.2215,57.9615,14.0135,185.529,3.46384,2.93939,1.75148,2.04308
51.6591,44.1798,91.426,11.3506,241.998,14.991,3.1353,2.02417,2.10513
54.14,41.3598,155.81,39.4264,356.243,10.9412,2.74879,1.29508,2.41847
54.1269,44.162,50.6748,8.21664,153.588,12.2744,2.024,2.20195,2.26377
76.3234,23.0316,50.2452,2.44609,153.437,8.77931,3.19699,1.62169,2.54725
68.1269,58.7665,153.351,19.015,395.604,33.623,3.14671,2.19481,1.74409
50.9043,32.1267,54.9743,7.47168,141.094,11.3672,3.67178,2.58534,1.95489
34.3545,33.8862,45.498,18.7244,100.63,1.83169,2.19414,2.19699,2.2161
82.4953,24.1473,74.4346,8.62908,239.974,22.1497,2.07285,0.687278,2.72934
79.4474,23.846,93.6327,16.4858,194.683,8.73161,3.09954,0.570352,2.89426
109.441,23.5066,65.3209,18.3124,274.12,12.9385,2.4594,2.57768,1.99256
56.7252,25.8758,51.2119,13.8672,217.853,10.7159,1.6947,1.11079,2.76081
67.2717,39.3162,41.8134,6.44522,165.169,4.63308,3.13443,2.21134,2.12897
82.5721,37.6298,103.735,26.5288,233.238,5.01069,3.51735,2.41677,1.56763
58.6516,37.5574,108.07,33.574,309.064,17.2793,2.28848,1.71188,2.73373
55.3924,49.492,47.3483,4.48668,151.942,5.87921,2.50881,1.82062,2.13212
70.353,27.7147,46.7429,10.0264,156.531,2.6357,2.9274,1.68749,2.72775
52.7461,24.0107,116.479,20.6606,354.448,17.9155,2.58503,2.95789,2.34331
158.821,24.9955,132.707,32.4908,434.155,11.9547,2.61337,2.46736,1.63117
70.4351,30.3197,68.7557,17.9939,293.804,12.2916,4.55357,4.09353,2.38062
48.6934,32.2086,44.5403,7.51787,126.22,5.00141,3.19075,1.75877,2.49555
37.2417,31.3279,63.4936,24.3971,125.354,5.61613,2.84916,2.92541,2.35366
83.5505,29.1477,75.8567,24.1827,201.599,9.71566,2.83692,2.43985,1.9099
176.88,62.791,199.983,55.1541,543.052,13.5064,3.09682,2.80662,0.927364
72.4435,64.4065,127.626,24.1865,425.465,12.7885,3.1051,2.00601,1.3486
37.6937,25.6977,106.361,27.5281,205.497,4.79925,2.90132,2.76801,2.54638
61.6725,51.2846,71.9692,14.4881,240.648,3.31121,3.68193,4.01935,1.72932
32.8004,20.746,75.6367,3.16405,136.12,40.9768,2.8813,1.55446,3.42913
32.9621,32.4451,43.668,9.81737,108.21,14.5791,2.52444,1.92286,3.1107
76.099,26.4189,55.9237,9.18381,155.783,7.76244,3.0598,0.965862,2.4429
53.8299,47.506,90.2365,12.2193,193.238,9.28789,2.78136,3.26156,1.78351
95.2589,24.3651,118.757,29.7133,275.561,17.128,4.36463,3.78356,2.27906
58.1899,37.0364,48.8481,9.40527,172.892,1.57186,2.62229,0.863915,2.80613
67.7153,42.2347,51.9304,11.5151,193.122,9.9965,2.87643,3.81008,2.08487
76.5413,41.5448,119.475,14.208,360.269,41.9585,2.61975,2.06362,1.45485
60.9537,35.3398,54.8212,9.88111,147.406,5.92582,2.51394,1.84141,2.27305
77.4092,37.7835,104.91,12.7702,222.543,2.70526,3.67075,2.87453,1.54589
149.442,45.3932,144.109,22.9128,410.497,27.7149,2.82688,3.41428,1.08302
75.3753,32.1597,57.5795,4.84764,166.614,13.0104,3.54649,2.47444,2.47547
80.3813,48.2767,80.6464,13.1198,336.801,47.0251,2.94629,1.99798,1.37395
81.6791,34.3163,101.235,24.0771,228.589,11.7745,2.87008,3.39098,1.68049
104.773,24.5609,118.434,31.6721,430.728,25.5175,2.24277,3.54296,2.11562
82.6723,49.7771,64.2743,7.43767,258.825,9.49764,2.32533,2.8001,1.48363
88.0874,80.3836,200.605,45.5131,445.846,21.1334,2.81838,3.11595,1.07149
51.7532,27.8594,59.4818,13.6048,203.858,5.89822,2.07561,1.56725,2.93982
46.5988,42.6279,59.1098,32.7087,177.889,15.8476,3.84182,3.322,3.1072
79.628,27.7843,69.3131,8.12501,229.618,8.48061,3.17097,2.34312,2.21844
67.4302,27.3438,46.0514,7.29846,147.609,5.36791,3.01683,1.06162,2.84389
29.4891,29.3841,114.837,16.2718,349.615,17.1608,0.9817,2.81306,3.62869
52.2964,26.5697,75.0499,7.92462,200.836,8.63086,3.70438,1.04546,3.21675
108.412,40.1835,121.05,19.2573,296.707,13.6121,2.79055,2.70357,1.41784
77.0482,30.7755,69.2007,18.3805,224.019,7.39033,2.43611,1.0653,3.13412
41.2237,35.3781,64.1419,5.80175,186.085,18.425,3.35794,0.563684,2.81555
80.1449,38.2854,102.943,24.2503,281.703,14.7003,3.37054,1.74083,1.89301
78.1429,33.3153,155.04,8.93514,312.996,19.9387,2.2907,1.89494,2.1544
69.2122,32.6655,40.6231,2.63702,153.756,2.2293,2.70641,1.48092,2.34759
202.88,144.198,262.772,49.017,848.796,23.897,4.07537,4.46019,0.534193
61.1174,33.7025,64.9876,11.2619,238.776,9.71123,3.67972,3.37269,2.57279
53.7269,28.3012,58.9169,21.9947,183.479,0.878709,1.69229,3.00694,2.41249
57.6165,23.3102,49.1895,8.18329,136.692,9.79374,2.91577,1.97475,2.6693
82.0638,26.3966,46.2767,8.61535,155.52,17.123,3.87764,2.52452,2.60467
60.5877,38.0799,131.021,30.1976,299.663,21.2231,2.53725,1.62572,2.33728
50.1959,29.8141,49.7166,10.7069,136.017,11.5602,2.15108,2.47959,2.51157
44.1481,29.1536,56.1714,12.7127,152.372,4.87399,3.01838,3.99007,2.08947
55.6069,47.904,85.71,16.8153,179.902,11.0802,2.68831,3.34939,1.73937
36.788,27.6666,59.4884,10.7313,270.734,26.4273,4.08362,1.03092,3.23013
60.2412,33.3756,55.3497,4.34003,186.499,17.8817,2.21688,1.70675,3.12108
52.2166,33.8913,48.7307,6.4247,136.175,10.8241,2.80822,1.18993,2.83047
56.6541,32.0544,68.8536,17.2415,248.95,14.2173,1.39037,2.59403,3.12298
64.2192,26.6257,47.2104,1.46166,147.914,4.08564,2.74631,2.99833,2.4171
66.19,49.0174,58.4277,8.66905,242.553,26.7413,1.43385,3.01014,1.92938
50.2317,24.4343,44.4572,7.11052,121.542,5.89649,2.91262,0.690986,3.33219
59.4829,44.0874,54.608,9.07875,161.773,4.42963,2.70642,2.15155,1.85117
52.3432,43.7404,43.1525,8.81164,170.039,13.3119,3.51149,1.33805,2.19409
95.1932,21.4532,92.7222,17.1077,223.957,14.1551,3.21842,2.03269,2.0962
106.985,35.4823,141.683,34.3614,376.979,13.7259,2.89215,2.052,1.56901
109.986,26.2855,70.7806,14.471,205.691,12.0305,3.52769,2.32213,2.15436
51.7711,41.4423,47.8919,8.73203,146.866,7.18322,3.18393,1.81645,2.00884
64.7275,20.353,41.4442,8.36087,160.935,11.0328,3.30303,1.55101,2.63288
